App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 03:16:15 PM","1 min 36 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
26346,1,26443,1779524,26465,12,26443,1400000,
26466,1,26543,1779576,26550,10,26545,1400000,
26551,1,26643,1779640,26665,10,26644,1400000,
26665,1,26743,1779640,26746,7,26744,1400000,
26747,1,26844,1779640,26866,9,26844,1400000,
26866,1,26944,1779640,26948,7,26945,1400000,
26949,1,27044,1779640,27063,7,27045,1400000,
27063,1,27144,1779640,27147,2,27145,1400000,
27148,1,27245,1779640,27262,3,27245,1400000,
27263,1,27345,1779640,27348,2,27345,1400000,
27348,1,27445,1779640,27463,1,27446,1400000,
27463,1,27545,1779640,27548,7,27546,1400000,
27549,1,27646,1779640,27663,3,27646,1400000,
27663,1,27746,1779640,27749,5,27746,1400000,
27749,1,27846,1779640,27864,5,27847,1400000,
27864,1,27946,1779640,27950,0,27947,1400000,
27950,1,28047,1779640,28064,0,28047,1400000,
28065,1,28147,1779640,28150,2,28147,1400000,
28150,1,28247,1779640,28265,3,28247,1400000,
28265,1,28349,1779640,28353,0,28350,1400000,
28354,1,28448,1779640,28466,5,28448,1400000,
28466,1,28548,1779640,28551,2,28549,1400000,
28552,1,28648,1779632,28666,7,28649,1400000,
28667,1,28749,1779632,28752,4,28749,1400000,
28752,1,28849,1779632,28867,5,28849,1400000,
28867,1,28949,1779632,28952,2,28950,1400000,
28952,1,29049,1779756,29067,3,29050,1400000,
29068,1,29150,1779756,29153,2,29150,1400000,
29153,1,29250,1779756,29270,3,29251,1400000,
29271,1,29350,1779756,29353,2,29350,1400000,
29353,1,29450,1779756,29469,9,29451,1400000,
29469,1,29551,1779756,29554,2,29551,1400000,
29554,1,29651,1779880,29669,3,29651,1400000,
29670,1,29751,1779880,29754,2,29752,1400000,
29755,1,29851,1779880,29869,9,29852,1400000,
29870,1,29952,1779880,29955,0,29952,1400000,
29955,1,30052,1779880,30070,9,30052,1400000,
30070,1,30152,1779880,30155,2,30153,1400000,
30155,1,30253,1779880,30271,7,30253,1400000,
30271,1,30353,1779880,30356,4,30353,1400000,
30356,1,30453,1779880,30471,7,30453,1400000,
30471,1,30553,1779880,30556,0,30554,1400000,
30556,1,30654,1779880,30672,7,30654,1400000,
30672,1,30754,1779880,30757,4,30754,1400000,
